"","mtry","RMSE","RMSESD","Rsquared","RsquaredSD","NUTS1","CM"
"143",52,0.00723995719574649,0.00427672596776336,0.755064180199287,0.245484542366832,"MA","CM3"
"144",77,0.00744331574871383,0.00443403978277908,0.7437590045448,0.247201307775322,"MA","CM3"
"145",102,0.00751060855267281,0.00453128803938831,0.735782021721572,0.252572940116324,"MA","CM3"
"146",127,0.0076479251559273,0.0045815555232916,0.730995650377015,0.251611856834397,"MA","CM3"
"147",152,0.00777227877707713,0.00465500308586772,0.72349566651843,0.252235602079201,"MA","CM3"
"148",177,0.00786012818002415,0.00472149782677216,0.719632467094884,0.259646848269497,"MA","CM3"
"149",202,0.00786320058396281,0.00472566867044542,0.716328637908413,0.258832530612739,"MA","CM3"
"150",227,0.00798431098424848,0.00478105952835345,0.712359266583933,0.260259626537228,"MA","CM3"
"151",2,0.00519748073637208,0.00256772206637791,0.841413401137871,0.114076053234376,"CE","CM3"
"152",27,0.00534643855774172,0.00245978086395068,0.777841389688283,0.130926693702902,"CE","CM3"
"153",52,0.00568897914437325,0.00249807140206373,0.731843369079341,0.152617294396555,"CE","CM3"
"154",77,0.00597444980649594,0.00256206589520156,0.691775785023666,0.17046024775544,"CE","CM3"
"155",102,0.00621296930917291,0.00258619624837736,0.655962107552805,0.186713550282006,"CE","CM3"
"156",127,0.00639560545813094,0.00261734709625225,0.628663227745988,0.20061142605645,"CE","CM3"
"157",152,0.00655213393888713,0.00264255168123855,0.606575222024113,0.210314973229605,"CE","CM3"
"158",177,0.00666830176798914,0.00266359438081161,0.589973604078511,0.22135502009379,"CE","CM3"
"159",202,0.0067981969856347,0.0026655656093745,0.572414586113108,0.226582282906657,"CE","CM3"
"160",227,0.00691546252304212,0.00268193134929177,0.558565867145982,0.229525466254092,"CE","CM3"
"161",2,0.00374244538246391,0.00208770854577584,0.886817096822308,0.11765617820433,"E","CM3"
"162",27,0.00348306349967029,0.00184163207597039,0.89080638623648,0.0979602393684967,"E","CM3"
"163",52,0.00359850173831704,0.00184070527808844,0.884359847061384,0.0916376903163582,"E","CM3"
"164",77,0.00365441569017695,0.00185899137401069,0.879286859135076,0.0956429518591722,"E","CM3"
"165",102,0.0036778147667072,0.00184901635477465,0.874963910796153,0.0974754827348472,"E","CM3"
"166",127,0.00376068325248483,0.00187469467957278,0.870133505311214,0.0987370040848902,"E","CM3"
"167",152,0.00379988554950105,0.00188660143120835,0.865077863038177,0.102444573939792,"E","CM3"
"168",177,0.00384086160248292,0.00189504795412646,0.862167935558543,0.103820477514692,"E","CM3"
"169",202,0.00388060341272579,0.00190132520126303,0.857883331343339,0.111987988702793,"E","CM3"
"170",227,0.00391914249873478,0.00192468038049888,0.854693864122172,0.114153764225277,"E","CM3"
"171",2,0.00219699247584835,0.000791070530639717,0.903282767575721,0.0787427769693639,"S","CM3"
"172",27,0.00212887550374287,0.000812169520171663,0.903293934088972,0.0769115662188373,"S","CM3"
"173",52,0.00216890106035943,0.000794887118461063,0.89916504448882,0.0777480044203232,"S","CM3"
"174",77,0.00219751411308271,0.000809527437174627,0.895854200219083,0.0795291809636847,"S","CM3"
"175",102,0.00224125477121807,0.000807191355488057,0.891621786503224,0.0804178644574138,"S","CM3"
"176",127,0.00226213399493024,0.000812719630284189,0.88948622641484,0.0817591719075099,"S","CM3"
"177",152,0.0022820456617449,0.000838250765273385,0.886117090503373,0.0851985124672732,"S","CM3"
"178",177,0.00230551623289546,0.000835897813725191,0.884237114089373,0.0844765047705387,"S","CM3"
"179",202,0.00234817205099713,0.000837094118259817,0.879218090200497,0.0871440843339317,"S","CM3"
"180",227,0.00235887913016141,0.000848976228946166,0.87784280218171,0.0878748697448992,"S","CM3"
