"","mtry","AUC","AUCSD","Precision","PrecisionSD","Recall","RecallSD","F","FSD","NUTS1","CM"
"92",27,0.916862285397394,0.0181303287063002,0.98597619047619,0.0339721601237477,0.963736263736264,0.0591359755159729,0.973554511388994,0.036599101160762,"CE","CM4"
"93",52,0.888546861657047,0.0480249285309935,0.985899267399267,0.0340733107692387,0.959010989010989,0.057693215426599,0.971093739210981,0.0352178054924121,"CE","CM4"
"94",77,0.889680704174642,0.0549033490349334,0.981214285714286,0.037178667855563,0.957582417582418,0.0630004467104735,0.968013770648253,0.0403098226197392,"CE","CM4"
"95",102,0.867135981279255,0.0689054552942404,0.985437728937729,0.0322191085061544,0.960659340659341,0.0611777787433788,0.971844621279104,0.0390139328534244,"CE","CM4"
"96",127,0.866999257493925,0.0681427937214445,0.981175824175824,0.0369715899371454,0.959120879120879,0.063079806424984,0.968860202377444,0.0411967168644033,"CE","CM4"
"97",152,0.856850324708935,0.0714102366587657,0.982708791208791,0.0337142752713822,0.963736263736264,0.0570573998285282,0.972091344925828,0.0361939437275548,"CE","CM4"
"98",177,0.853798401240492,0.0722383367406017,0.985318681318681,0.0297705805032768,0.968241758241758,0.0549034379281855,0.975820119854603,0.0346310342208792,"CE","CM4"
"99",202,0.845800522601857,0.0885965701838851,0.987985347985348,0.0278841113349945,0.971208791208791,0.052261914569673,0.978806837606838,0.0339410153929162,"CE","CM4"
"100",227,0.838514643877898,0.0838936471252832,0.987985347985348,0.0278841113349945,0.971208791208791,0.052261914569673,0.978806837606838,0.0339410153929162,"CE","CM4"
"101",2,0.937198239977105,0.00954465587415806,0.96743223254214,0.0465665089723598,0.959485294117647,0.047695842724997,0.962384806263855,0.0358132064868316,"E","CM4"
"102",27,0.936613549444546,0.0129170257388321,0.974822841417269,0.034719505386419,0.963014705882353,0.0527641953914072,0.967804198900041,0.0329013803715548,"E","CM4"
"103",52,0.934097719405745,0.0173388916332131,0.976928104575163,0.0331394240089612,0.964338235294118,0.0466240442893629,0.969785664999138,0.0299987946163506,"E","CM4"
"104",77,0.930387260276918,0.0244584585200721,0.974888200894393,0.0348773037474648,0.967867647058824,0.0454409020881626,0.970529595904833,0.0295727435922596,"E","CM4"
"105",102,0.937771787072027,0.00963486725075904,0.976130030959752,0.0364173890873964,0.970294117647059,0.043890974309918,0.972393790849673,0.029598230305679,"E","CM4"
"106",127,0.930874793222242,0.023332440856913,0.977050653594771,0.0308052163110403,0.971470588235294,0.0454636604864672,0.973460301715994,0.0280709993879661,"E","CM4"
"107",152,0.927304531784334,0.0263423939913955,0.979468954248366,0.0321460873637178,0.970294117647059,0.043890974309918,0.974037624140565,0.026808312573099,"E","CM4"
"108",177,0.932104589549313,0.0202945032358761,0.978548331613347,0.0338817072222966,0.975,0.040301105237922,0.97599571343689,0.0258523552199209,"E","CM4"
"109",202,0.929491968391459,0.024179693884565,0.975973168214654,0.0327328101286997,0.973823529411765,0.0404148391812136,0.974216073721766,0.0267162014107669,"E","CM4"
"110",227,0.935307039517949,0.0155147463882874,0.973750945992432,0.0329151773381157,0.977352941176471,0.036261258840994,0.974931505348963,0.0247055531108896,"E","CM4"
"111",2,0.927663737087073,0.0159577061490846,0.981377450980392,0.0335878130122187,0.943083333333333,0.0595333920858087,0.960388510883505,0.0330276603885442,"S","CM4"
"112",27,0.924566666785403,0.0206130524990253,0.98856162464986,0.0247032887758022,0.951,0.0574493269766324,0.96839397912062,0.0331444910642757,"S","CM4"
"113",52,0.91007563663851,0.0410022223586186,0.990137254901961,0.0257566300017413,0.952333333333333,0.0578034730496243,0.9697583149146,0.0329194119586004,"S","CM4"
"114",77,0.912523742944234,0.0296176766192847,0.989990196078431,0.0231817765028114,0.956166666666667,0.0557509037173939,0.971748111578201,0.0312501089496921,"S","CM4"
"115",102,0.906928842072705,0.0421764933544865,0.988740196078431,0.0242895975211749,0.95625,0.055719182222765,0.971147444169969,0.0309802313673698,"S","CM4"
