"","mtry","AUC","AUCSD","NUTS1","CM"
"140",227,0.9484229390681,0.0888769075911581,"NE","CM2"
"141",2,0.936363636363636,0.2005116578785,"MA","CM2"
"142",27,0.942584670231729,0.179825844140034,"MA","CM2"
"143",52,0.945614973262032,0.170735159667229,"MA","CM2"
"144",77,0.944705882352941,0.171792239237918,"MA","CM2"
"145",102,0.945329768270945,0.167507746069222,"MA","CM2"
"146",127,0.946541889483066,0.162403132441374,"MA","CM2"
"147",152,0.94578431372549,0.16584270685602,"MA","CM2"
"148",177,0.946541889483066,0.163165823984796,"MA","CM2"
"149",202,0.946693404634581,0.162774466143985,"MA","CM2"
"150",227,0.94578431372549,0.16609676297416,"MA","CM2"
"151",2,0.991856630824373,0.0244247724969779,"CE","CM2"
"152",27,0.993849462365591,0.0145490054857899,"CE","CM2"
"153",52,0.990774193548387,0.017434367696204,"CE","CM2"
"154",77,0.986232974910394,0.0217474034128828,"CE","CM2"
"155",102,0.980616487455197,0.024690689515305,"CE","CM2"
"156",127,0.975874551971326,0.0310256134732342,"CE","CM2"
"157",152,0.970491039426523,0.0358429085237333,"CE","CM2"
"158",177,0.966989247311828,0.0391751082438769,"CE","CM2"
"159",202,0.964906810035842,0.0417657709260025,"CE","CM2"
"160",227,0.961698924731183,0.0430178998279938,"CE","CM2"
"161",2,1,0,"E","CM2"
"162",27,1,0,"E","CM2"
"163",52,1,0,"E","CM2"
"164",77,1,0,"E","CM2"
"165",102,1,0,"E","CM2"
"166",127,0.999821428571429,0.00126269068069026,"E","CM2"
"167",152,0.999821428571429,0.00126269068069026,"E","CM2"
"168",177,0.999591543513957,0.00203788306441378,"E","CM2"
"169",202,0.999591543513957,0.00203788306441378,"E","CM2"
"170",227,0.999361658456486,0.00346356189178187,"E","CM2"
"171",2,0.96288711001642,0.0607305919292072,"S","CM2"
"172",27,0.961141625615764,0.0601115156504052,"S","CM2"
"173",52,0.963346880131363,0.0572426292173792,"S","CM2"
"174",77,0.964467980295566,0.0553830332523822,"S","CM2"
"175",102,0.966579638752053,0.0526922714691366,"S","CM2"
"176",127,0.965994663382594,0.0535403850122612,"S","CM2"
"177",152,0.962147783251232,0.0593822736643605,"S","CM2"
"178",177,0.963148604269294,0.0579408763696729,"S","CM2"
"179",202,0.964129720853859,0.0562869869629224,"S","CM2"
"180",227,0.962315681444992,0.0587048758239979,"S","CM2"
"181",2,0.998229166666667,0.0059159974350846,"NW","CM3"
"182",27,0.997708333333333,0.00632746774567539,"NW","CM3"
"183",52,0.997076612903226,0.00692043828377116,"NW","CM3"
"184",77,0.996347446236559,0.00796762867468298,"NW","CM3"
"185",102,0.994784946236559,0.009704991367949,"NW","CM3"
"186",127,0.994576612903226,0.00992817034769091,"NW","CM3"
"187",152,0.992694892473118,0.0117805857253853,"NW","CM3"
"188",177,0.991125672043011,0.0141604055113357,"NW","CM3"
"189",202,0.991118951612903,0.013389071849575,"NW","CM3"
"190",227,0.99028561827957,0.0154513862583677,"NW","CM3"
"191",2,0.99642094017094,0.00686410307831005,"NE","CM3"
"192",27,0.995683760683761,0.00666050989930968,"NE","CM3"
"193",52,0.995213675213675,0.00768370257296321,"NE","CM3"
"194",77,0.994887820512821,0.00790526283898932,"NE","CM3"
"195",102,0.993675213675214,0.00998695779153001,"NE","CM3"
"196",127,0.99278311965812,0.0110664405671742,"NE","CM3"
"197",152,0.992019230769231,0.0125614348634083,"NE","CM3"
"198",177,0.99142094017094,0.013518492345757,"NE","CM3"
"199",202,0.991036324786325,0.0130418795737034,"NE","CM3"
"200",227,0.990422008547009,0.0135847114189253,"NE","CM3"
"201",2,0.943420698924731,0.114703642652319,"MA","CM3"
"202",27,0.947463037634409,0.107747786368848,"MA","CM3"
"203",52,0.94841061827957,0.102012499881689,"MA","CM3"
"204",77,0.950742607526882,0.097552847274314,"MA","CM3"
"205",102,0.95158938172043,0.093671043174584,"MA","CM3"
"206",127,0.950772849462366,0.0937981996045279,"MA","CM3"
"207",152,0.951280241935484,0.0928143745021944,"MA","CM3"
"208",177,0.951061827956989,0.0925698644808143,"MA","CM3"
"209",202,0.950551075268817,0.0911485277543007,"MA","CM3"
"210",227,0.949811827956989,0.0907401620442208,"MA","CM3"
"211",2,0.968208781362007,0.0719151974260559,"CE","CM3"
"212",27,0.966146953405018,0.0685323818137388,"CE","CM3"
"213",52,0.961847670250896,0.0720794287037853,"CE","CM3"
"214",77,0.959695340501792,0.0709327070921089,"CE","CM3"
"215",102,0.951035842293907,0.0808603027796951,"CE","CM3"
"216",127,0.947533154121864,0.0794704171918169,"CE","CM3"
"217",152,0.945066308243728,0.0771925025013094,"CE","CM3"
"218",177,0.940285842293907,0.0806219034654355,"CE","CM3"
"219",202,0.93655376344086,0.0803334678662076,"CE","CM3"
"220",227,0.930578853046595,0.0839926149037067,"CE","CM3"
"221",2,0.99317356078905,0.0125680546452989,"E","CM3"
"222",27,0.991431662640902,0.0148177054716604,"E","CM3"
"223",52,0.991207226247987,0.0162454596718269,"E","CM3"
"224",77,0.990869565217391,0.0162524308776083,"E","CM3"
"225",102,0.990149959742351,0.0175272019390127,"E","CM3"
"226",127,0.990678592995169,0.0166941460472956,"E","CM3"
"227",152,0.990065167069243,0.019507559858671,"E","CM3"
"228",177,0.990229468599034,0.0178841598482224,"E","CM3"
"229",202,0.990469001610306,0.0176697314854267,"E","CM3"
"230",227,0.990563858695652,0.0185563192305988,"E","CM3"
"231",2,0.969120085470085,0.0497181520247015,"S","CM3"
"232",27,0.969540170940171,0.0479027089952866,"S","CM3"
"233",52,0.971578632478632,0.0443832250972145,"S","CM3"
"234",77,0.971816666666667,0.0434647487430616,"S","CM3"
"235",102,0.969941452991453,0.0460565186484567,"S","CM3"
"236",127,0.969912393162393,0.0470726998010548,"S","CM3"
"237",152,0.970784615384615,0.0459193136626631,"S","CM3"
"238",177,0.970857264957265,0.0450692427373679,"S","CM3"
"239",202,0.971316666666667,0.0446199232264239,"S","CM3"
"240",227,0.972049145299145,0.0434133792752265,"S","CM3"
